participant_id,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
subject23,0.5859375,0.5348853100636388,1.4352478961620183,1.3712972574144822,0.8333333333333334,0.7607257743127308,0.9486832980505138,0.15811388300841903,4.019440956391524,0.7482861308114416,6,64.453125,65.0390625,3.3145630368119416,3.930588241698849
subject24,1.0044642857142858,0.9299532252179648,2.657562700846129,2.5570947606246066,0.8658008658008658,0.8015758439589192,0.9899811735656071,0.0631462999480782,-1.13705959901935,1.1671793316659713,7,106.47321428571429,105.46875,16.77786136120654,15.945376205076775
subject25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8312164842954068,0.681404321445733,5,115.3125,115.3125,2.6308528500754274,2.6308528500754274
subject26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4017427590097725,0.6985509438724522,5,99.140625,99.140625,1.40625,1.40625
subject27,22.5,12.949722487374006,36.6705135292649,29.356563192883726,20.5,11.670475568716128,0.20168505894172084,0.5654859671113789,-2.1194221444316326,1.857819878392023,5,86.484375,108.984375,29.46420961840823,8.319487194983836
subject30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0630246514986745,0.6884844871344277,7,98.4375,98.4375,7.03125,7.03125
subject31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.927037759907286,1.0255494404943268,7,78.34821428571429,78.34821428571429,1.588197485575637,1.588197485575637
subject32,0.5022321428571429,0.4649766126089823,1.3287813504230646,1.2785473803123033,0.4329004329004329,0.40078792197945956,0.9950931990481962,0.0442482207733308,2.4603971685744837,0.9343549133595489,7,105.46875,104.96651785714286,11.275083643180404,10.701198759707736
subject33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.174234597464744,1.0093747095813834,7,116.015625,116.015625,5.315125401692258,5.315125401692258
subject34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.946128906126796,0.8383361417900047,7,115.01116071428571,115.01116071428571,2.460424964849174,2.460424964849174
subject35,1.5066964285714286,1.3949298378269468,3.9863440512691937,3.83564214093691,1.7857142857142856,1.6532501781652706,0.9682578065142758,0.11178266424107372,3.458692797245189,1.3680185637428375,7,103.96205357142857,102.45535714285714,12.585901425811942,14.11620802488803
subject36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3971558344874655,0.8770365755214717,7,118.52678571428571,118.52678571428571,7.449306516055912,7.449306516055912
subject37,1.0044642857142858,0.9299532252179646,2.657562700846129,2.5570947606246066,1.7857142857142856,1.6532501781652706,0.8666666666666666,0.2231093404090869,4.12014162852144,1.6186210665119358,7,60.267857142857146,59.263392857142854,4.764592456726911,4.764592456726911
